Scopus Source ID,Title,Citation Count,Scholarly Output,Percent Cited,CiteScore 2020,SNIP,SJR,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Percentile,RANK,Rank Out Of,Publisher,Type,Open Access,Quartile,Top 10% (CiteScore Percentile),URL Scopus Source ID,Print ISSN,E-ISSN
13579,Data Mining and Knowledge Discovery,1916,230,77,8.3,2.726,0.975,1710,Information Systems,88,37,329,Springer Nature,j, NO,1,FALSE,https://www.scopus.com/sourceid/13579,13845810,1573756X
13579,Data Mining and Knowledge Discovery,1916,230,77,8.3,2.726,0.975,1705,Computer Networks and Communications,88,39,334,Springer Nature,j, NO,1,FALSE,https://www.scopus.com/sourceid/13579,13845810,1573756X
13581,Journal of Database Management,133,56,71,2.4,0.478,0.268,1710,Information Systems,46,176,329,IGI Global Publishing,j, NO,3,FALSE,https://www.scopus.com/sourceid/13581,10638016,15338010
13581,Journal of Database Management,133,56,71,2.4,0.478,0.268,1712,Software,36,247,389,IGI Global Publishing,j, NO,3,FALSE,https://www.scopus.com/sourceid/13581,10638016,15338010
13581,Journal of Database Management,133,56,71,2.4,0.478,0.268,1708,Hardware and Architecture,35,102,157,IGI Global Publishing,j, NO,3,FALSE,https://www.scopus.com/sourceid/13581,10638016,15338010
13608,Xitong Fangzhen Xuebao / Journal of System Simulation,853,1569,31,0.5,0.335,0.174,1706,Computer Science Applications,10,621,693,Acta Simulata Systematica Sinica,j, NO,4,FALSE,https://www.scopus.com/sourceid/13608,1004731X,
13622,SIGMOD Record,183,86,43,2.1,0.932,0.372,1710,Information Systems,43,187,329,ACM,j, NO,3,FALSE,https://www.scopus.com/sourceid/13622,1635808,
13622,SIGMOD Record,183,86,43,2.1,0.932,0.372,1712,Software,33,261,389,ACM,j, NO,3,FALSE,https://www.scopus.com/sourceid/13622,1635808,
13646,VLDB Journal,1018,169,82,6,1.949,0.653,1710,Information Systems,80,64,329,Springer Nature,j, NO,1,FALSE,https://www.scopus.com/sourceid/13646,10668888,0949877X
13646,VLDB Journal,1018,169,82,6,1.949,0.653,1708,Hardware and Architecture,76,37,157,Springer Nature,j, NO,1,FALSE,https://www.scopus.com/sourceid/13646,10668888,0949877X
13675,Communications of the ACM,6236,554,65,11.3,4.595,0.967,1700,Computer Science (all),94,12,226,ACM,j, NO,1,TRUE,https://www.scopus.com/sourceid/13675,10782,15577317
